recordID,state,cases,deaths
d100001,Washington,1,0
d100002,Washington,1,0
d100003,Washington,1,0
d100004,Illinois,1,0
d100005,Washington,1,0
d100006,California,1,0
d100007,Illinois,1,0
d100008,Washington,1,0
d100009,Arizona,1,0
d100010,California,2,0
d100011,Illinois,1,0
d100012,Washington,1,0
d100013,Arizona,1,0
d100014,California,2,0
d100015,Illinois,1,0
d100016,Washington,1,0
d100017,Arizona,1,0
d100018,California,2,0
d100019,Illinois,1,0
d100020,Washington,1,0
d100021,Arizona,1,0
d100022,California,2,0
d100023,Illinois,1,0
d100024,Washington,1,0
d100025,Arizona,1,0
d100026,California,2,0
d100027,Illinois,2,0
d100028,Washington,1,0
d100029,Arizona,1,0
d100030,California,3,0
d100031,Illinois,2,0
d100032,Washington,1,0
d100033,Arizona,1,0
d100034,California,3,0
d100035,Illinois,2,0
d100036,Massachusetts,1,0
d100037,Washington,1,0
d100038,Arizona,1,0
d100039,California,6,0
d100040,Illinois,2,0
d100041,Massachusetts,1,0
d100042,Washington,1,0
d100043,Arizona,1,0
d100044,California,6,0
d100045,Illinois,2,0
d100046,Massachusetts,1,0
d100047,Washington,1,0
d100048,Arizona,1,0
d100049,California,6,0
d100050,Illinois,2,0
d100051,Massachusetts,1,0
d100052,Washington,1,0
d100053,Arizona,1,0
d100054,California,6,0
d100055,Illinois,2,0
d100056,Massachusetts,1,0
d100057,Washington,1,0
d100058,Wisconsin,1,0
d100059,Arizona,1,0
d100060,California,6,0
d100061,Illinois,2,0
d100062,Massachusetts,1,0
d100063,Washington,1,0
d100064,Wisconsin,1,0
d100065,Arizona,1,0
d100066,California,6,0
d100067,Illinois,2,0
d100068,Massachusetts,1,0
d100069,Washington,1,0
d100070,Wisconsin,1,0
d100071,Arizona,1,0
d100072,California,6,0
d100073,Illinois,2,0
d100074,Massachusetts,1,0
d100075,Washington,1,0
d100076,Wisconsin,1,0
d100077,Arizona,1,0
d100078,California,6,0
d100079,Illinois,2,0
d100080,Massachusetts,1,0
d100081,Washington,1,0
d100082,Wisconsin,1,0
d100083,Arizona,1,0
d100084,California,7,0
d100085,Illinois,2,0
d100086,Massachusetts,1,0
d100087,Washington,1,0
d100088,Wisconsin,1,0
d100089,Arizona,1,0
d100090,California,7,0
d100091,Illinois,2,0
d100092,Massachusetts,1,0
d100093,Washington,1,0
d100094,Wisconsin,1,0
d100095,Arizona,1,0
d100096,California,7,0
d100097,Illinois,2,0
